"Sequence ID (GISAID EPI-ISL)"	"Authors"	"Originating laboratory"	"Submitting laboratory"
"EPI_ISL_1184562"	"Trung Huynh, Jessica Escobar, Katherine Fullerton, Nobuko Fukushima, Stacy White, Linda Getsinger, Victor Waddell"	"Arizona State Public Health Laboratory"	"Arizona State Public Health Laboratory"
"EPI_ISL_1531128"	"Sarah Schmedes, Jason Blanton"	"Florida Bureau of Public Health Laboratories"	"Florida Bureau of Public Health Laboratories"
"EPI_ISL_1660547"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"Texas Department of State Health Services (TXDSHS)"	"Texas Department of State Health Services (TXDSHS)"
"EPI_ISL_1660548"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"Texas Department of State Health Services (TXDSHS)"	"Texas Department of State Health Services (TXDSHS)"
"EPI_ISL_1660549"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"Texas Department of State Health Services (TXDSHS)"	"Texas Department of State Health Services (TXDSHS)"
"EPI_ISL_1660550"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"Texas Department of State Health Services (TXDSHS)"	"Texas Department of State Health Services (TXDSHS)"
"EPI_ISL_1660577"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"Texas Department of State Health Services (TXDSHS)"	"Texas Department of State Health Services (TXDSHS)"
"EPI_ISL_2102619"	"(in alphabetical order) Consuelo Treviño-Garza, Eduardo Isaac de la Rosa-Moreno, Else del Carmen Garcia-Garcia, Gloria Alejandra Jasso-de la Peña, Manuel Enrique de la O-Cavazos, Olín Medina-Chávez, Yulianna Mayre Cordero-Cruz"	"Laboratorio Estatal de Salud Publica de Nuevo Leon"	"Laboratorio Estatal de Salud Publica de Nuevo Leon"
"EPI_ISL_2102620"	"(in alphabetical order) Consuelo Treviño-Garza, Eduardo Isaac de la Rosa-Moreno, Else del Carmen Garcia-Garcia, Gloria Alejandra Jasso-de la Peña, Manuel Enrique de la O-Cavazos, Olín Medina-Chávez, Yulianna Mayre Cordero-Cruz"	"Laboratorio Estatal de Salud Publica de Nuevo Leon"	"Laboratorio Estatal de Salud Publica de Nuevo Leon"
"EPI_ISL_2102627"	"(in alphabetical order) Consuelo Treviño-Garza, Eduardo Isaac de la Rosa-Moreno, Else del Carmen Garcia-Garcia, Gloria Alejandra Jasso-de la Peña, Manuel Enrique de la O-Cavazos, Olín Medina-Chávez, Yulianna Mayre Cordero-Cruz"	"Laboratorio Estatal de Salud Publica de Nuevo Leon"	"Laboratorio Estatal de Salud Publica de Nuevo Leon"
"EPI_ISL_2136393"	"Alexandra Lorentz, Jacob Garfin, Matt Plumb, and Xiong Wang"	"Minnesota Department of Health, Public Health Laboratory"	"Minnesota Department of Health, Public Health Laboratory"
"EPI_ISL_2178736"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Víctor Hugo Borja-Aburto, Celia Boukadida, Juan Bautista Chale-Dzul, Célida Duque Molina, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Victor Eduardo Garcia-Arias, Concepción Grajales-Muñiz, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, Margarita Matías-Florentino, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez"	"Laboratorio Central de Epidemiología (LCE)"	"Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)"
"EPI_ISL_2178741"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Víctor Hugo Borja-Aburto, Celia Boukadida, Juan Bautista Chale-Dzul, Célida Duque Molina, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Victor Eduardo Garcia-Arias, Concepción Grajales-Muñiz, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, Margarita Matías-Florentino, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez"	"Laboratorio Central de Epidemiología (LCE)"	"Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)"
"EPI_ISL_2277172"	"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Shannon R. Matzinger, Sarah Elizabeth Totten, Emily A. Travanty"	"Colorado Department of Public Health and Environment"	"Colorado Department of Public Health and Environment"
"EPI_ISL_2310094"	"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Shannon R. Matzinger, Sarah Elizabeth Totten, Emily A. Travanty"	"Colorado Department of Public Health and Environment"	"Colorado Department of Public Health and Environment"
"EPI_ISL_2362697"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Sonora"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2362698"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Tamaulipas"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2423000"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2423008"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2492476"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Nuevo Leon"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2492477"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Nuevo Leon"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2492486"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Nuevo Leon"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2492497"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Queretaro"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2492498"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Queretaro"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2525714"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, Harry Gao, Mickey Li, John Gao, Joseph Fierro, Benafsh Sapra, Becky Tsai, Yan Meng, Doreen Ng, James Xie, Clinton R. Paden, Duncan MacCannell"	"Fulgent Genetics"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
